1.277497374999999984e-02,1.000001845798679678e+00,1.000001845798250688e+00,1.000001845798009326e+00,1.000001845798492273e+00,2.440626468420098886e-05,3.040995011360791977e-09
1.295285343962447773e-02,1.000001898428743097e+00,1.000001897735851797e+00,1.000001897368786530e+00,1.000001897371934456e+00,2.630383884135947085e-05,2.557347222875705484e-09
1.313320993934658301e-02,1.000001951867122818e+00,1.000001951134177114e+00,1.000001950745931900e+00,1.000001950749125124e+00,2.704276765410354582e-05,2.298422785429465875e-09
1.331607773645528819e-02,1.000002006811278044e+00,1.000002006034425239e+00,1.000002005623924273e+00,1.000002005625346913e+00,2.780354770199911855e-05,2.242011687414446897e-09
1.350149179844317357e-02,1.000002063302311450e+00,1.000002062479550258e+00,1.000002062044798024e+00,1.000002062046260631e+00,2.858564611017259835e-05,2.264281429020797987e-09
1.368948757969278007e-02,1.000002121384213405e+00,1.000002120512857529e+00,1.000002120052403187e+00,1.000002120053964383e+00,2.938920884240516410e-05,2.293287559851364676e-09
1.388010102825613587e-02,1.000002181102878973e+00,1.000002180178999778e+00,1.000002179690510085e+00,1.000002179692713877e+00,3.021561633461222036e-05,2.286369982229530251e-09
1.407336859272863630e-02,1.000002242503407412e+00,1.000002241523807012e+00,1.000002241006107573e+00,1.000002241007928339e+00,3.106542994958913007e-05,2.286607792001404960e-09
1.426932722921862504e-02,1.000002305633062027e+00,1.000002304594429292e+00,1.000002304045763069e+00,1.000002304047219681e+00,3.193919612589585862e-05,2.294338719011079775e-09
1.446801440841408506e-02,1.000002370540433283e+00,1.000002369439338512e+00,1.000002368857972668e+00,1.000002368858912583e+00,3.283759066339404754e-05,2.309918034626434746e-09
1.466946812274763645e-02,1.000002437276238387e+00,1.000002436108527792e+00,1.000002435491449182e+00,1.000002435493515529e+00,3.376028343626836099e-05,2.323117698210808157e-09
1.487372689366139866e-02,1.000002505892657156e+00,1.000002504653400237e+00,1.000002503999233294e+00,1.000002503999975811e+00,3.470963568933462277e-05,2.322789072195519111e-09
1.508082977897289879e-02,1.000002576441690882e+00,1.000002575126458071e+00,1.000002574432074853e+00,1.000002574433077829e+00,3.568574368950221424e-05,2.320309278047716361e-09
1.529081638034366329e-02,1.000002648977652120e+00,1.000002647581855753e+00,1.000002646844424081e+00,1.000002646846512855e+00,3.668936252230192572e-05,2.315571734357035893e-09
